NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Boban Marjanovic,Dal,C,33.75,3,2.1,4.3,52.8,29.1,2,1,4,0.25,0,0,0.25,0.41,1.3,1,28.1,0,0,0.33,0,0.67,0,,
,Naji Marshall,Nor,F,24.31,6,9.4,19.6,11.3,20.3,4,1,10,0.7,0,0,0.7,0.765,3,1,6.3,0.8,12.9,0.17,0.17,0.5,5.7,135.1,109.9
,Caleb Martin,Mia,F,26.63,11,10.6,22,19.6,11.8,4,0.25,25,0.44,18,0.167,0.36,0.357,2.9,1.5,8.4,0.3,3.7,0.82,0.18,0.55,4.1,73.7,100.5
,Wesley Matthews,Mil,G,35.59,12,28.7,59.8,9.3,8.1,9,0.667,19,0.368,45,0.4,0.531,0.544,6.2,3.1,5.5,1.2,5.6,0.75,0.25,0.5,4,114.2,107.3
,Tyrese Maxey,Phi,G,21.53,12,40.4,84.2,21.8,9.3,50,0.94,113,0.549,69,0.377,0.555,0.61,20.8,3.5,5.3,3.9,17,0.75,0.17,1.75,6.5,118.8,112
,Skylar Mays,Atl,G,24.69,2,4.6,9.6,5,0,0,0,1,1,0,0,1,1,1,0.5,6.6,0.5,17.9,0.5,0,0,5.5,208.4,101.7
,CJ McCollum,Nor,G,30.66,6,39,81.2,27.9,9.9,26,0.692,74,0.432,51,0.333,0.46,0.487,22.2,6.7,10.1,4.8,20.6,0.67,0.83,2.5,9.2,102.6,110.8
,Jaden McDaniels,Min,F,21.63,6,21.7,45.1,14.9,13.3,12,0.833,14,0.571,20,0.5,0.676,0.713,9.3,2.8,7.3,0.7,5,0.33,1.83,1,4.9,127.4,103.8
,JaVale McGee,Pho,C-F,34.32,12,11.1,23.2,22.3,13.9,13,0.846,49,0.714,1,0,0.7,0.727,6.8,4,21,0.6,8.8,0.25,0.42,0.75,9.1,132.7,88
,Jordan McLaughlin,Min,G,26.1,5,16.6,34.6,10.7,9.6,4,0.75,10,0.8,7,0.571,0.824,0.826,6.2,2.4,8,3.4,33.4,1,0,0.4,8.9,165.3,108.5
,De'Anthony Melton,Mem,G,23.97,10,17,35.4,19.5,17.3,4,0.75,21,0.476,44,0.25,0.408,0.419,5.6,3.1,9.6,1.5,12.5,1,0.5,1.4,7,86.2,106.7
,Khris Middleton,Mil,F,30.76,2,35.8,74.5,22,30.3,3,1,10,0.4,14,0.429,0.542,0.573,14.5,5,7.2,7,29.6,1.5,0,5.5,8.9,95.3,104.6
,Paul Millsap,Phi,F,37.26,1,5.6,11.7,0,,0,0,0,0,0,0,,,0,1,10.9,1,23.7,0,0,0,0,,95.7
,Patty Mills,Bro,G,33.76,4,18.1,37.7,10.8,5.9,0,0,3,0.667,13,0.538,0.781,0.781,6.3,1,3.6,0,0,0,0.25,0.25,0,137.4,114.3
,Shake Milton,Phi,G-F,25.63,12,13.2,27.5,15.4,9.7,20,0.8,23,0.435,15,0.533,0.579,0.641,5,1.6,7.3,0.9,10.9,0.5,0.25,0.42,5.9,126.9,106.5
,Donovan Mitchell,Uta,G,25.69,6,38.3,79.7,34.2,9.6,42,0.881,85,0.506,48,0.208,0.436,0.505,25.5,4.3,6.6,5.7,29.7,0.67,0.5,2.67,8.9,107.4,109.5
,Greg Monroe,Min,F-C,31.95,2,3.6,7.5,35.7,16.7,0,0,5,0.4,0,0,0.4,0.4,2,1,15.4,0.5,29,1,0,0.5,11.1,,
,Moses Moody,Gol,G,19.96,4,7.4,15.4,21.5,13.4,2,0.5,7,0.429,5,0.6,0.625,0.621,4,1.3,9.3,0.5,10.1,0.25,0.25,0.5,7.4,109.3,108.5
,Ja Morant,Mem,G,22.77,9,37.5,78.1,30.9,12.6,87,0.747,134,0.478,50,0.34,0.486,0.549,27.1,8,11.3,9.8,44.3,2,0.44,3.56,13.7,115.8,104.5
,Juwan Morgan,Bos,F,25.08,1,1,2.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Markieff Morris,Mia,F,32.7,1,3.5,7.3,25.6,50,0,0,1,0,0,0,0,0,0,1,17.4,0,0,0,0,1,0,,
,Monte Morris,Den,G,26.89,5,31.1,64.9,18,12.4,12,0.75,25,0.56,26,0.423,0.598,0.622,14,2.2,4.4,5.4,26.3,1.2,0,1.6,7.1,123,107.8
,Trey Murphy III,Nor,F,21.91,6,20,41.6,9.1,4,5,0.8,3,0,19,0.474,0.614,0.64,5.2,2.5,7.4,0.5,3.4,0.5,0.17,0.17,3.7,134.6,109.7
,Svi Mykhailiuk,Tor,G-F,24.93,3,1.6,3.4,23.1,0,1,1,0,0,2,0,0,0.205,0.3,0.3,12.5,0,0,0,0,0,0,,
,Larry Nance Jr.,Nor,F-C,29.37,6,21.6,45.1,16.5,12,11,0.818,30,0.667,9,0.222,0.59,0.627,9.2,5.8,15.9,1.8,13.2,0.5,0.33,1,8.5,131.3,104.7
,Aaron Nesmith,Bos,G-F,22.58,4,1.8,3.8,12.5,0,0,0,1,0,1,1,0.75,0.75,0.8,1,31.2,0.3,21,0,0,0,13.8,,
,Georges Niang,Phi,F,28.91,12,16.5,34.4,13.3,12.5,2,1,5,0.8,43,0.372,0.583,0.593,4.8,1.5,5.6,0.9,8.5,0.25,0,0.58,4.5,110.9,100.9
,Zeke Nnaji,Den,F-C,21.35,2,4.3,9,5.1,0,0,0,0,0,1,1,1.5,1.5,1.5,0,0,0,0,0,0,0,0,300,96.1
,Jaylen Nowell,Min,G,22.85,1,11.9,24.8,36,0,0,0,5,0.6,5,0,0.3,0.3,6,0,0,1,16.6,1,0,0,0,69.9,109
,Frank Ntilikina,Dal,G,23.8,7,10.8,22.4,11.6,38,1,1,2,0.5,9,0.333,0.5,0.524,1.7,1,5.4,0.9,11.2,0.86,0.14,1,4.3,79.3,91.8
,Jordan Nwora,Mil,F,23.68,8,2.5,5.2,21.4,0,2,0,5,0.4,4,0,0.222,0.202,0.5,0.4,7.7,0.3,14.2,0,0,0,6.3,,
,Josh Okogie,Min,G,23.7,1,2.2,4.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Onyeka Okongwu,Atl,F-C,21.43,5,21.6,44.9,10.4,16.4,10,0.8,16,0.563,0,0,0.563,0.637,5.2,5.4,15.1,0.4,2.9,0.8,0.8,0.8,4.1,130,97.5
,Victor Oladipo,Mia,G,30.03,8,25.7,53.5,21.7,15.1,24,0.833,41,0.537,33,0.273,0.48,0.538,11.4,3.8,8.9,2.4,13.9,1.13,0.38,1.88,7.3,101.5,100.2
,Royce O'Neale,Uta,F,28.95,6,31.4,65.3,9.7,7.7,2,1,10,0.7,25,0.28,0.5,0.516,6.2,5.7,10.5,1.5,7.3,0.5,0.17,0.5,4.8,115.6,105.3
,Eric Paschall,Uta,F,25.53,4,6.1,12.7,12.4,0,1,1,4,0.5,2,0.5,0.583,0.621,2,1.3,12,0,0,0.25,0,0,0,135.6,99.1
,Chris Paul,Pho,G,37.03,13,34.4,71.7,20.8,15.3,37,0.946,106,0.642,49,0.388,0.623,0.666,17.5,4.2,7.1,8.3,36.4,1.46,0.15,2.38,9.9,129.5,103.7
,Cameron Payne,Pho,G,27.77,13,13.2,27.6,24,14.5,6,0.833,44,0.386,30,0.167,0.331,0.352,4.2,1.5,6.8,2.1,21.5,0.54,0.08,1,7.2,78.1,97.5
,Gary Payton II,Gol,G,29.45,7,15.8,33,11.4,13.6,8,0.625,14,0.714,8,0.75,0.864,0.842,6.1,3,10.4,1.3,11.1,0.86,0.71,0.57,7.3,154.3,101.6
,Elfrid Payton,Pho,G,28.23,2,3.9,8,17.9,0,0,0,3,0.667,0,0,0.667,0.667,2,0,0,1.5,65.2,0,0,0,0,,
,Jordan Poole,Gol,G,22.91,11,31,64.5,24.8,15.7,42,0.881,79,0.595,69,0.391,0.591,0.637,19.3,3.4,6,4.8,23.7,0.73,0.55,2.82,8.8,116.8,104.5
,Otto Porter Jr.,Gol,F,28.95,10,21.5,44.9,11.5,15.6,4,0.75,18,0.5,29,0.31,0.479,0.492,4.8,3.9,10,2.3,13.5,0.9,0.4,0.9,6.5,107.1,98.6
,Bobby Portis,Mil,F,27.26,12,24.8,51.6,20.5,11.4,22,0.773,68,0.5,47,0.298,0.478,0.509,10.6,10,20.7,0.8,4.7,0.42,0.25,1.33,7.1,103,100.7
,Dwight Powell,Dal,F-C,30.82,13,15.4,32,11.2,19.2,18,0.611,28,0.679,2,0,0.633,0.646,3.8,2.8,10.8,0.3,3,0.15,0.46,0.69,3.8,116.7,94
,Taurean Prince,Min,F,28.15,5,13.1,27.2,22.4,11.7,7,0.857,13,0.462,14,0.286,0.444,0.499,6,1.6,6.8,1.2,15.2,0.4,0.2,0.8,6.9,99.9,109.5
,Payton Pritchard,Bos,G,24.3,11,12.6,26.2,15.5,4.2,0,0,15,0.667,31,0.355,0.576,0.576,4.8,2.1,9.3,1.7,21.2,0.18,0.09,0.18,8.2,129.6,103.4
,Paul Reed,Phi,F,22.92,12,11.6,24.2,16.2,18.7,7,0.571,33,0.515,3,0.667,0.556,0.563,3.7,3.9,20.6,0.8,11.6,0.75,0.5,0.75,7.8,118.7,88.3
,Naz Reid,Min,C-F,22.72,5,10.8,22.5,19.9,19.9,7,1,10,0.4,7,0.429,0.5,0.598,4.8,2.8,14.4,0,0,0.2,1.2,1,0,99.6,86.1
,Austin Rivers,Den,G,29.79,5,21.7,45.2,9,17.8,1,1,6,0.667,12,0.333,0.556,0.569,4.2,0.6,1.7,1.2,7.4,1.4,0.2,0.8,2.7,100.7,101.7
,Duncan Robinson,Mia,F,28.07,8,10.5,21.9,15.8,10.1,6,0.833,1,1,23,0.478,0.729,0.751,5,1.1,6.5,0.1,1.8,0,0,0.38,3.1,127.8,100.1
,D'Angelo Russell,Min,G,26.23,6,32.7,68.2,21,17.7,16,0.75,41,0.293,31,0.387,0.417,0.455,12,2.5,4.2,6.7,32.1,1.5,0,2.83,7.2,95.8,108.5
,Landry Shamet,Pho,G,25.18,12,16,33.3,13.9,12.1,7,0.714,22,0.455,26,0.346,0.49,0.509,4.3,1.7,6.1,1.3,10.3,0.5,0,0.58,5.3,102.5,109.1
,Day'Ron Sharpe,Bro,F,20.52,1,0.4,0.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Pascal Siakam,Tor,F,28.12,6,43.4,90.4,24.2,9.6,36,0.861,90,0.522,17,0.235,0.495,0.558,22.8,7.2,10.1,5.8,22.8,1.17,1,2.17,9.1,117.9,105.5
,Marcus Smart,Bos,G,28.2,10,36.6,76.2,19.8,14.8,29,0.793,60,0.483,65,0.354,0.508,0.544,15,3.7,5.7,6.2,25.8,1.1,0.4,2.4,7.7,111.5,102.9
,Jaden Springer,Phi,G,19.64,5,2.6,5.5,21.5,0,0,0,5,0.6,1,0,0.5,0.5,1.2,0.8,18.7,0.4,29.2,0,0,0,11.2,,
,Nik Stauskas,Bos,G,28.61,4,1.8,3.8,17.9,0,2,1,1,0,1,0,0,0.347,0.5,0,0,0.3,17.4,0,0,0,0,,
,Max Strus,Mia,G-F,26.13,11,29.8,62.1,18.2,8.3,14,0.643,22,0.682,94,0.351,0.556,0.565,12.5,4.5,9.1,2.2,10.9,0.91,0.36,1,6.7,113.7,102.4
,Jayson Tatum,Bos,F-G,24.2,11,41.2,85.9,31.1,14,81,0.815,134,0.478,101,0.386,0.521,0.575,28.3,5.6,7.7,6.1,25.8,1.27,1,4,9.6,109.7,102.4
,Garrett Temple,Nor,G-F,36.02,1,1.9,4,0,,0,0,0,0,0,0,,,0,1,31.1,0,0,0,0,0,0,,
,Daniel Theis,Bos,F-C,30.11,10,13.4,27.9,16.9,15.8,6,0.833,28,0.714,12,0.167,0.575,0.598,5.1,3.6,15.1,0.6,7,0.4,0.5,0.8,6.6,113.5,91.3
,Cam Thomas,Bro,G,20.59,1,0.4,0.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Klay Thompson,Gol,G,32.27,11,35,73,23.7,8.4,13,0.769,87,0.506,103,0.408,0.563,0.572,20.4,4.5,7,2,8.8,1.18,0.91,1.64,6.5,105.5,106.1
,Tristan Thompson,Chi,C-F,31.18,5,7.6,15.9,11.5,50,0,0,5,0.4,0,0,0.4,0.4,0.8,1.6,10.5,0.4,7.4,0.2,0,1,4.2,59.8,105.3
,Matisse Thybulle,Phi,G-F,25.2,9,15.2,31.7,9.4,7.3,3,0.333,10,0.7,14,0.286,0.542,0.533,3,1,4,0.4,4.4,0.78,0.78,0.22,2.8,106.4,103.8
,Xavier Tillman,Mem,F,23.34,9,15.5,32.2,11.1,26.6,6,0.5,23,0.739,2,0.5,0.74,0.724,4.4,3.2,11,0.7,6.2,0.67,0.11,1.11,5.5,115.2,101.5
,Juan Toscano-Anderson,Gol,F,29.1,6,4.8,10,19.7,22.5,3,0.333,5,0.4,4,0.5,0.556,0.533,1.8,1.3,15.2,0.8,23.5,0.17,0.17,0.5,10.3,95.7,108.1
,Karl-Anthony Towns,Min,C-F,26.5,6,37,77,24.9,20.9,50,0.86,58,0.5,22,0.455,0.55,0.642,21.8,10.8,16.3,2.2,10.1,0.67,2,4.5,8.7,108.8,101.9
,Gary Trent Jr.,Tor,G-F,23.32,6,33.2,69.2,21.7,3.2,19,0.895,43,0.419,39,0.333,0.457,0.509,15.3,1.8,3.4,1.3,6.4,1,0.5,0.5,4,110.5,112.2
,P.J. Tucker,Mia,F,37.03,11,29.4,61.3,10.8,7.7,4,1,39,0.615,31,0.484,0.664,0.676,8.8,5.6,11.6,2,9.8,0.55,0.27,0.55,6.3,141.1,102
,Rayjon Tucker,Mil,G,24.64,8,2.4,4.9,6.9,0,0,0,2,0.5,1,0,0.333,0.333,0.3,0.4,8.2,0,0,0,0,0,0,,
,Jonas Valanciunas,Nor,C,30.03,6,29.1,60.6,22.5,13.1,26,0.769,62,0.516,6,0.167,0.493,0.548,14.5,14.3,29.1,3,16.5,0.67,0.17,2,11.7,119,102
,Jarred Vanderbilt,Min,F,23.12,6,21.5,44.8,12.1,13.7,10,0.7,27,0.481,0,0,0.481,0.525,5.5,7.2,18.5,0.7,4.7,1.17,0.33,0.83,5.6,111.9,98.7
,Fred VanVleet,Tor,G,28.22,4,35,72.9,20.1,6.6,6,0.833,18,0.389,36,0.333,0.463,0.486,13.8,3,5.3,6.3,27.5,1.75,1,1,7.3,115.3,106.7
,Luca Vildoza,Mil,G,20,7,2.4,5,15.4,0,0,0,1,1,5,0.2,0.417,0.417,0.7,0.3,6.1,0.6,34.6,0.29,0,0,8.4,,
,Gabe Vincent,Mia,G,25.92,11,23.9,49.8,16.8,15.2,11,0.909,32,0.531,47,0.277,0.462,0.495,7.5,2.4,6,3.5,20.6,0.91,0.09,1.36,6.7,103,102.3
,Nikola Vucevic,Chi,C,31.56,5,36.2,75.3,24.5,7.9,5,0.8,49,0.551,42,0.31,0.511,0.52,19.4,12.4,17.2,3.2,16.5,0.4,1.2,1.6,10.1,108.1,106.4
,Ish Wainright,Pho,F,27.67,7,3.8,7.9,26.1,20,0,0,6,0.333,6,0.5,0.542,0.542,1.9,1.6,24.4,0.1,5.7,0.14,0.14,0.43,7.1,,
,Yuta Watanabe,Tor,G-F,27.59,4,2.6,5.4,31.5,14.3,0,0,5,0.4,1,0,0.333,0.333,1,0,0,0,0,0,0,0.25,0,,
,Coby White,Chi,G,22.24,5,19.6,40.9,23.8,11.3,5,0.8,16,0.438,29,0.276,0.422,0.445,8.4,3.4,8.7,1.8,15.2,0.2,0,1.2,7.6,87.2,111.9
,Derrick White,Bos,G,27.87,11,23.8,49.5,15.1,9.1,21,0.857,34,0.471,37,0.243,0.415,0.48,7,4,9.5,2.4,14.1,0.82,0.27,0.73,6.8,106.7,101.5
,Hassan Whiteside,Uta,C,32.92,6,10.9,22.7,9.9,0,4,0.25,12,0.417,0,0,0.417,0.4,1.8,5.2,27.6,0,0,0.33,1.33,0,0,114,92.8
,Andrew Wiggins,Gol,F,27.23,11,31.6,65.9,19.1,9.6,33,0.606,86,0.535,40,0.4,0.556,0.569,14.5,6.9,12,1.2,5.4,0.91,1.09,1.36,6.2,112.3,104
,Robert Williams III,Bos,C-F,24.58,5,20.1,42,12.8,7,4,0.75,24,0.583,1,0,0.56,0.579,6.2,5,14,1.2,9,0.8,1.8,0.4,6.6,135.4,94.5
,Grant Williams,Bos,F,23.46,11,30.9,64.3,14.7,8.1,23,0.783,31,0.452,61,0.41,0.56,0.592,11,4.4,8,0.8,3.9,0.27,1.09,0.82,4.4,117.7,100.6
,Patrick Williams,Chi,F,20.72,5,30.6,63.7,16.9,11.9,11,0.727,26,0.577,21,0.333,0.543,0.569,11.8,5.4,8.9,0.8,4.3,1,0.6,1.4,4.8,106.5,106
,Ziaire Williams,Mem,F,20.67,10,16.8,34.9,14.6,3.3,13,0.923,16,0.75,36,0.306,0.548,0.598,6.9,1.7,5.4,0.5,4.3,0.5,0,0.2,4.3,127.1,106.7
,Delon Wright,Atl,G,30.05,5,27.4,57,12.8,13.2,9,0.667,16,0.625,13,0.385,0.603,0.622,8.2,4.8,10.6,2.8,16.8,0.8,0.2,1,7,131.9,117.4
,Thaddeus Young,Tor,F,33.9,6,14.5,30.2,12.2,13.2,4,0.25,11,0.727,7,0.143,0.528,0.506,3.3,3,12.7,1.7,16.9,0.83,0.17,0.5,7.1,116.6,103.8
,Trae Young,Atl,G,23.66,5,37.3,77.7,28.3,27.1,33,0.788,31,0.484,38,0.184,0.37,0.461,15.4,5,8.1,6,26.9,0.6,0,6.2,8.3,83.4,111.8
,Omer Yurtseven,Mia,C,23.91,6,4.1,8.5,24.3,0,3,0.333,10,0.9,2,0,0.75,0.713,3.2,0.5,7.4,0.2,9.1,0,0.17,0,6.7,133.4,105.3
